代码,简称,日期,开盘价(元),收盘价(元),涨跌(元),涨跌幅(%)
600958.SH,东方证券,2015-03-23,11.03,13.23,--,--
600958.SH,东方证券,2015-03-24,14.55,14.55,1.32,9.9723
600958.SH,东方证券,2015-03-25,16.01,16.01,1.46,10.0126
600958.SH,东方证券,2015-03-26,17.61,17.61,1.60,10.0172
600958.SH,东方证券,2015-03-27,19.37,19.37,1.76,9.9896
600958.SH,东方证券,2015-03-30,19.33,20.32,0.94,4.8723
600958.SH,东方证券,2015-03-31,20.32,20.76,0.44,2.1651
600958.SH,东方证券,2015-04-01,20.80,21.40,0.64,3.0905
600958.SH,东方证券,2015-04-02,21.49,22.88,1.48,6.8951
600958.SH,东方证券,2015-04-03,22.94,25.17,2.29,10.0160
600958.SH,东方证券,2015-04-07,26.39,27.69,2.52,10.0146
600958.SH,东方证券,2015-04-08,27.77,30.45,2.77,9.9967
600958.SH,东方证券,2015-04-09,31.62,30.10,-0.36,-1.1736
600958.SH,东方证券,2015-04-10,29.97,29.83,-0.27,-0.8831
600958.SH,东方证券,2015-04-13,29.60,29.12,-0.71,-2.3963
600958.SH,东方证券,2015-04-14,28.60,28.70,-0.41,-1.4164
600958.SH,东方证券,2015-04-15,28.38,27.50,-1.20,-4.1826
600958.SH,东方证券,2015-04-16,26.90,27.73,0.23,0.8331
600958.SH,东方证券,2015-04-17,28.39,28.91,1.18,4.2631
600958.SH,东方证券,2015-04-20,28.96,27.34,-1.58,-5.4517
600958.SH,东方证券,2015-04-21,27.27,29.98,2.64,9.6547
600958.SH,东方证券,2015-04-22,29.88,31.03,1.05,3.5157
600958.SH,东方证券,2015-04-23,30.67,30.10,-0.93,-3.0124
600958.SH,东方证券,2015-04-24,29.14,28.89,-1.21,-4.0195
600958.SH,东方证券,2015-04-27,29.80,29.55,0.66,2.2843
600958.SH,东方证券,2015-04-28,29.82,30.21,0.66,2.2333
600958.SH,东方证券,2015-04-29,29.74,29.86,-0.35,-1.1529
600958.SH,东方证券,2015-04-30,29.90,29.76,-0.10,-0.3376
600958.SH,东方证券,2015-05-04,29.60,29.35,-0.41,-1.3859
600958.SH,东方证券,2015-05-05,29.33,28.15,-1.19,-4.0600
600958.SH,东方证券,2015-05-06,28.15,27.69,-0.47,-1.6602
600958.SH,东方证券,2015-05-07,27.31,27.73,0.05,0.1655
600958.SH,东方证券,2015-05-08,28.27,27.64,-0.09,-0.3305
600958.SH,东方证券,2015-05-11,27.62,28.83,1.19,4.3103
600958.SH,东方证券,2015-05-12,28.82,29.13,0.30,1.0490
600958.SH,东方证券,2015-05-13,28.69,28.35,-0.79,-2.7053
600958.SH,东方证券,2015-05-14,28.58,28.12,-0.23,-0.8083
600958.SH,东方证券,2015-05-15,27.72,27.25,-0.87,-3.0965
600958.SH,东方证券,2015-05-18,26.85,27.75,0.50,1.8500
600958.SH,东方证券,2015-05-19,27.95,30.53,2.78,10.0066
600958.SH,东方证券,2015-05-20,31.43,31.25,0.72,2.3717
600958.SH,东方证券,2015-05-21,31.16,32.79,1.54,4.9267
600958.SH,东方证券,2015-05-22,33.25,36.07,3.28,10.0056
600958.SH,东方证券,2015-05-25,36.66,36.99,0.92,2.5407
600958.SH,东方证券,2015-05-26,36.48,37.54,0.55,1.4866
600958.SH,东方证券,2015-05-27,37.35,36.59,-0.94,-2.5146
600958.SH,东方证券,2015-05-28,36.38,33.17,-3.43,-9.3664
600958.SH,东方证券,2015-05-29,33.41,33.15,-0.02,-0.0553
600958.SH,东方证券,2015-06-01,32.77,35.70,2.55,7.6859
600958.SH,东方证券,2015-06-02,35.70,35.37,-0.33,-0.9243
600958.SH,东方证券,2015-06-03,35.42,34.40,-0.97,-2.7468
600958.SH,东方证券,2015-06-04,34.07,35.21,0.82,2.3714
600958.SH,东方证券,2015-06-05,36.66,35.72,0.51,1.4576
600958.SH,东方证券,2015-06-08,36.20,37.55,1.82,5.1052
600958.SH,东方证券,2015-06-09,37.53,35.82,-1.72,-4.5887
600958.SH,东方证券,2015-06-10,35.19,35.10,-0.72,-2.0210
600958.SH,东方证券,2015-06-11,34.83,34.67,-0.43,-1.2272
600958.SH,东方证券,2015-06-12,34.78,35.94,1.27,3.6743
600958.SH,东方证券,2015-06-15,36.75,35.86,-0.08,-0.2295
600958.SH,东方证券,2015-06-16,35.35,34.37,-1.49,-4.1656
600958.SH,东方证券,2015-06-17,34.08,34.19,-0.17,-0.5067
600958.SH,东方证券,2015-06-18,33.80,31.48,-2.71,-7.9335
600958.SH,东方证券,2015-06-19,30.70,30.05,-1.43,-4.5415
600958.SH,东方证券,2015-06-23,29.79,30.80,0.75,2.5008
600958.SH,东方证券,2015-06-24,30.66,30.61,-0.19,-0.6248
