,家具制造业,石油加工、炼焦及核燃料加工业,非金属矿物制造业,通用设备制造业,农业,建筑安装业,金属制品业,邮政业,其他制造业,燃气生产和供应业,生态保护和环境治理业,住宿业,黑色金属矿采选业,专用设备制造业,黑色金属加工,机动车、电子产品和日用品服务业,公共设施管理业,卫生业,计算机、通信和其他电子设备制造业,畜牧业,餐饮业,煤炭开采和洗选业,研究和试验发展,道路运输业,仪器仪表制造业,建筑装饰和其他安装业,电力、热力生产和供应业,农、林、牧、渔服务业,林业,航空运输业,专业技术服务业,仓储业,农副食品加工业,铁路、船舶、航空航天和其他运输模式设备制造业,石油和天然气开采业,电信、广播电视和卫星传输服务,零售业,文化艺术业,房屋建筑业,电气机械及器材制造业,酒、饮料和精制茶制造业,化学原料及化学制品制造业,教育业,土木工程建筑业,纺织服装、服饰业,文教、工美、体育和娱乐用品制造业,有色金属加工,装卸搬运及其他运输代理,食品制造业,商务服务业,货币金融服务,纺织业,木材加工及木、竹、藤、棕、草制品业,铁路运输业,租赁业,皮革、毛皮、羽毛及其,科技推广和应用服务业,广播、电视、电影和影视录音制作业,资本市场服务,有色金属矿采选业,橡胶和塑料制造业,非金属矿采选业,废弃资源综合利用业,水上运输业,汽车制造业,开采辅助活动,综合,水的生产和供应业,印刷和记录媒介复制业,化学纤维制造业,渔业,体育业,新闻和出版业,医药制造业,批发业,互联网和相关服务,软件和信息技术服务业,造纸及纸制品业,其他金融业
家具制造业,1.0,0.4487969628103436,0.6096570596271279,0.5982106357929025,0.4222319139635379,0.373980350157869,0.4740655142232132,0.44184613962184643,0.4154827441469203,0.2763612797736986,0.5233932644826421,0.5750972319377906,0.48824105731521306,0.3850456044878292,0.4275559603068858,0.2888451972273911,0.48033457559048853,0.5343058588435317,0.5383710177861945,0.2869350997917006,0.4825311849310032,0.37852542568096925,0.3076160615245058,0.48926239185661907,0.46302352521182694,0.5425154575159382,0.4251613418002432,0.21275046228058841,0.10112589608979612,0.4310068348300235,0.3094725819196306,0.3681868938607515,0.6313699312637622,0.373726239147684,0.3880855163975799,0.4701929096873806,0.6169410431168469,0.46603085572151265,0.38623755000574805,0.5565504262137506,0.5095164586121314,0.6209932256157304,0.4305183965905385,0.47825988354062404,0.5812993859165537,0.44509011626746375,0.44272982493020874,0.33071252901272163,0.5724121422703918,0.46716252386243334,0.4819585968859697,0.6215581435060817,0.5779894798279649,0.3750136070294966,0.37673722816960475,0.476345413691183,0.13236378967962625,0.21573012670985067,0.5068356640719819,0.41955206297813524,0.5156674974110067,0.29643250276673827,0.41364900357118217,0.46590563622363085,0.56294600722763,0.3976170532808838,0.5206713325920198,0.5185196516861418,0.4145195065453799,0.5006866552645864,0.4260881358042089,0.3534914772731985,0.3960726985974751,0.5806445310953571,0.6014698896268454,0.28963206004736847,0.4385641370564349,0.5657486826538835,0.5479476941915078
石油加工、炼焦及核燃料加工业,0.4487969628103436,1.0,0.6041622334508223,0.7259285862985319,0.4837304163302071,0.4938432833844852,0.5056493514262929,0.5109388803363365,0.5235031082930789,0.490189125936286,0.6645691376060356,0.39014102476971085,0.6492113911429375,0.31828924163895866,0.6748100604614203,0.3699146306025499,0.587748912190999,0.41489000952830557,0.5635154154974067,0.319826770064176,0.6109739918630362,0.5372786558062411,0.2894052157915629,0.6774602759385415,0.5677897841483773,0.7117594025223479,0.42917787825830694,0.20451629668155155,0.2731799810281103,0.32187449132209667,0.3686410269669467,0.4358396197566419,0.4751675703417842,0.4915939906859144,0.6110502622082935,0.6526618632542416,0.4545378028588931,0.4905446509065946,0.5978447220235538,0.3941913874454681,0.31972625625593776,0.6883979746035495,0.4440754046853068,0.6421674681449974,0.5280184360980348,0.42685947305881733,0.44891111611267714,0.4480636597643471,0.30718079117881836,0.31897416113372046,0.4325055063713138,0.5768024851621012,0.6071374280845215,0.5435682174457821,0.3873602092194174,0.6029597462592902,0.268619270854267,0.32490816039927384,0.673682139671912,0.595708198786021,0.5946213520586235,0.5704218892068218,0.4486302876138377,0.5318360119652752,0.5521022233499925,0.5775953980391331,0.6457686012395036,0.7006630524172089,0.5931328754532756,0.6872242922351267,0.5383702096448051,0.4809375370103075,0.4545033811140516,0.35081996895605927,0.682829200921311,0.42599055252243545,0.5229046143581396,0.6561105702448728,0.44999178290279385
非金属矿物制造业,0.6096570596271279,0.6041622334508223,1.0,0.6166551664494232,0.37612210086064146,0.4486981533221757,0.5819465906527171,0.5281887791255419,0.443723845934294,0.4022331131355818,0.5402067046523676,0.5142074983435799,0.5237839843397125,0.39661394344608625,0.702055662793484,0.28447671941607144,0.526801250570439,0.5111820168279533,0.5836518201910261,0.3208893977972504,0.4903758772775343,0.6018750679347251,0.28076041283951403,0.5750970530968471,0.46602181872963805,0.6533577160789422,0.4568480407932836,0.15937411340020086,0.07994660194479442,0.42308901144356065,0.3529569871256902,0.3394264672238892,0.6141092435613286,0.44435416313730247,0.5391394500352946,0.5216768443800253,0.5503119937490135,0.47156368787546354,0.5073869359664612,0.5987323087202812,0.5241804560694711,0.7087056197127849,0.41173629761546465,0.6973111947444922,0.49545244913641356,0.4919658491463515,0.48520594099361986,0.3535161472949549,0.5165226540022692,0.43300347147950885,0.5959635156856601,0.5583360597005776,0.5979216378237594,0.5765767760002539,0.3121395683923376,0.4021330162641514,0.19512228011589433,0.23171403327770945,0.592367472364986,0.4869352814098001,0.53848944586316,0.3982826852722173,0.34401893531918526,0.48893858400549584,0.5962508573478296,0.46345921736576845,0.4958120341040103,0.5102937970721209,0.5254348803043355,0.6184114606158176,0.3856971580008,0.37379667097465913,0.3779835296674279,0.519648371520474,0.5897627103229097,0.3758295124743891,0.48375964271011773,0.5306023738767428,0.6332914341655208
通用设备制造业,0.5982106357929025,0.7259285862985319,0.6166551664494232,1.0,0.5865437157166383,0.6710386030577388,0.624038683551046,0.5684900991091618,0.6600092361187707,0.5436039448676319,0.8348439772920337,0.5243133013817136,0.6688474659355012,0.5641391104461707,0.4952754593670328,0.527566620233088,0.7233181617690874,0.6242745139222818,0.8423642735965657,0.386874006039626,0.736781585783202,0.30898493219909723,0.4910576225998339,0.7821791568220858,0.8288894226473438,0.848522910169581,0.45337330062933895,0.2999600201379535,0.35009078475884625,0.35396805874914516,0.5431357582089207,0.613854177260765,0.6295044806639644,0.7262255589057666,0.49196748128089923,0.7967501636771707,0.7071135490840749,0.6583148229066393,0.6823474019733181,0.5191878761041643,0.40445695678036814,0.817847666348463,0.5681544378564408,0.6015589194691455,0.7235230638937167,0.6086880023704873,0.6280110412275066,0.540979622149774,0.46365018413685977,0.4045472529785096,0.3749489206149417,0.8086735778537377,0.6868033434694257,0.4782842109185368,0.5105890352705509,0.748171371014767,0.32156727034362353,0.4005678815586368,0.7589754973143831,0.6484825303050256,0.8025415411581769,0.5704301608672626,0.5596029265711302,0.6469604427367994,0.6580451711996061,0.5979698269015651,0.7836960007692391,0.8229059446073174,0.735000727816639,0.7604751297022996,0.7210820253099671,0.6931667161735665,0.6557680696025426,0.6027177919739055,0.8428218230434528,0.5495455505723829,0.8070281581673768,0.7474303497284351,0.4711410666852828
农业,0.4222319139635379,0.4837304163302071,0.37612210086064146,0.5865437157166383,1.0,0.3386986456396436,0.3954071681465524,0.3871179825844601,0.46121862958710413,0.3083694744967087,0.5144702142781642,0.44372431588363764,0.43220232457409363,0.3709016073167845,0.3229106594220632,0.2621099088046807,0.47262031081245354,0.3948594886162473,0.5286172790957219,0.415304695089025,0.47278416843818505,0.2753653595821198,0.3182701371444984,0.49953088966342474,0.4936623730791112,0.5147508163927522,0.37515170255499874,0.4613198974189273,0.260748783966239,0.32585467155474596,0.2296485719023687,0.41240770966382484,0.4484809210548988,0.49269245591047856,0.37123676798566435,0.49211535721461624,0.46399331451277687,0.40363211301747703,0.4413084288920547,0.3022718342102844,0.3140613080448661,0.5312591470405934,0.44102156449342117,0.3575652520833651,0.5099552022532954,0.3725356935794938,0.41720124055988367,0.27005075637462117,0.3729950780404529,0.31536157347665433,0.22162057772360214,0.5358113246023768,0.46323300928510497,0.3296312571094917,0.3367358703165343,0.4930909675834054,0.1772177134555363,0.2548383188703807,0.4862579985865305,0.47204793151009633,0.45827766940748843,0.3253992481246746,0.4286152858844513,0.4799342439392444,0.45402561059600294,0.47330918439492586,0.5501421380502353,0.512768855002668,0.4555506962988087,0.5344373062352017,0.45993388769865123,0.38715255876905225,0.3614506993064266,0.3968513127974553,0.5792844661250511,0.3321643326760041,0.46173518392746576,0.4721570332885238,0.28374586557520387
建筑安装业,0.373980350157869,0.4938432833844852,0.4486981533221757,0.6710386030577388,0.3386986456396436,1.0,0.43528443955013735,0.3712870046222813,0.46159591867459904,0.37282718070016746,0.5786644146708654,0.3499039251895895,0.494207288550131,0.48600995840765865,0.33496283375360436,0.3546493831723228,0.4726535307707652,0.4530613857831917,0.721129866772179,0.21203806656693303,0.49258046291530283,0.20192160172223225,0.3969687608182161,0.527722374952075,0.6404016031745431,0.5864736300078378,0.360385823379003,0.22413070282603745,0.16518064541531532,0.1924665623129449,0.4457951659973016,0.36432099874017665,0.39811019126657465,0.6334429895133108,0.3107025684739032,0.6354772825291205,0.49786166852206576,0.4960072993236309,0.4679044094856417,0.2923272643342048,0.2568757075252709,0.581539004708266,0.3657533560684819,0.43353276899392335,0.49352134000668496,0.5483015684092057,0.4651344635978265,0.3717820351039186,0.2635028465540342,0.2578219023936968,0.23655506370251014,0.5247123396517545,0.49895109665068943,0.3630870628519755,0.32411325770321425,0.5214117970441053,0.13637304983973608,0.29695308421521727,0.5061999004980222,0.38622055622735235,0.5942668090740049,0.35954733180844517,0.3536799610153336,0.43272035628706135,0.4609067280881474,0.3835415650995457,0.5585263762609212,0.583608102438847,0.5251622287450389,0.549854511762323,0.4493654471185661,0.557138504506017,0.4883670250647368,0.4325799953208477,0.5606713221810766,0.43574037007862815,0.6853881796840713,0.4796646963687087,0.3328294713069713
金属制品业,0.4740655142232132,0.5056493514262929,0.5819465906527171,0.624038683551046,0.3954071681465524,0.43528443955013735,1.0,0.46909812356104297,0.4600448034711363,0.373791577626039,0.5528035733412486,0.4915408078187914,0.49727227318605444,0.4101254808387231,0.3932293371650126,0.31608935984272385,0.5225934591740952,0.5216492594924664,0.6170944205679085,0.4543944178326366,0.5253286435802883,0.26493211551198614,0.37336926320209796,0.49072203581237156,0.5595679887309845,0.6036475328419263,0.3205704242783864,0.17898727932279015,0.17186703755043964,0.38597188220040507,0.42242368256584784,0.42416565044803756,0.597379362914891,0.49443505194536924,0.3625682257228838,0.5011688436823211,0.5954820547500559,0.460358926450205,0.45560408626993465,0.47284719567780187,0.380232144843664,0.6691788793944665,0.34898226452491593,0.4715290582975087,0.5890228309756856,0.45342353412114983,0.44823715982364354,0.35375771467846956,0.5079053479776681,0.4591305259462998,0.3669862369454865,0.610562438915964,0.4929514031447895,0.39795594356079994,0.3386191986291758,0.4726939205900899,0.1892237165797234,0.26845738124809887,0.5155166694383686,0.4757118575308083,0.5498801798406185,0.3959829259648105,0.335904968291398,0.3833211235385135,0.5087537005197575,0.40776868857745113,0.5111276318245046,0.49968659882868816,0.48194471055938815,0.5007705782103462,0.46918934311376187,0.39329435525465045,0.3851544368199521,0.5571451631817321,0.6007002888092333,0.374004050413337,0.5354717496226183,0.5246348394410244,0.4250907141849647
邮政业,0.44184613962184643,0.5109388803363365,0.5281887791255419,0.5684900991091618,0.3871179825844601,0.3712870046222813,0.46909812356104297,1.0,0.4440145104173944,0.3254621225252729,0.48524371560814705,0.42960443921454444,0.4429146326687937,0.3896476824415303,0.43622836699759737,0.2489942535482271,0.4860041363896496,0.4981279753928149,0.5496204072075975,0.27241747254369886,0.3909764439294268,0.3640231761842856,0.33859952900371376,0.4823022356808266,0.5320136026892576,0.530244299861569,0.37794228814056036,0.20092285976762012,0.1373405483427498,0.44904724391566575,0.3957101737483183,0.41988914238998176,0.5671673131833643,0.4469424034781872,0.38328369222290054,0.47769979810474616,0.5243221423099909,0.440333473911292,0.4149281842509346,0.5113125463676474,0.5031119743861463,0.5843849191882299,0.3069549121233589,0.43410007531244366,0.5686815981443324,0.4174387932865885,0.3929653319501934,0.3092608431746509,0.5517242584803093,0.47654158013061626,0.4290113013354556,0.5330355586904966,0.4779228943668721,0.3534397264790293,0.339436209246052,0.4336632894351083,0.31968996025659724,0.2523697855913413,0.47246412811766164,0.46483380910409555,0.5032908723273096,0.33556736973990453,0.3902038094171371,0.4764469897339166,0.527497596429287,0.3695102249957217,0.520999325292737,0.5071645693686623,0.4155442230896749,0.5315881518089217,0.37919367932933185,0.427192555196475,0.37797212395941593,0.5109468325396586,0.5420550241326604,0.48184613074715743,0.4358064159758627,0.4427599974529593,0.47748380833748305
其他制造业,0.4154827441469203,0.5235031082930789,0.443723845934294,0.6600092361187707,0.46121862958710413,0.46159591867459904,0.4600448034711363,0.4440145104173944,1.0,0.35406662407987277,0.578647998720158,0.44828497220123786,0.46160273466743373,0.3980799770296454,0.32997409689619805,0.37449463865984933,0.5064382754672145,0.523182035321768,0.6514326681076923,0.3155239850738351,0.564720286634148,0.21077333314767446,0.3348793797273945,0.5655127373953985,0.6304219927163958,0.5829982161816061,0.40565283847772654,0.2207695328900387,0.13267737266341942,0.32321421491873564,0.4518265806674265,0.4101857195020644,0.5152543876715027,0.6303237781864455,0.36941443609781976,0.5672299393044432,0.562453598173013,0.4746854451885593,0.4283697090527709,0.329688260464264,0.3547963922288588,0.6256987473341005,0.43476020438114577,0.43577569238239805,0.5447130762134363,0.5159615488095025,0.4306455804296715,0.368705486008586,0.4030182587055534,0.41714793891620033,0.29179300534696256,0.6164896285466602,0.48421498199289376,0.3947299418988169,0.3658483155852,0.48120741825843794,0.2905782247866133,0.340382639593919,0.5089478269660853,0.5318503281669085,0.5312838530284479,0.3879834656665142,0.3820385639044388,0.5163488743754077,0.5254860716360836,0.46077577556255317,0.5551241166575209,0.5285307133654252,0.5347840044087466,0.5730282123180732,0.4917539962536123,0.41639778749029516,0.4985331338003453,0.46733600604077224,0.6385130902437828,0.37531362334016505,0.6136499261556958,0.5263962992804488,0.3618158750924097
燃气生产和供应业,0.2763612797736986,0.490189125936286,0.4022331131355818,0.5436039448676319,0.3083694744967087,0.37282718070016746,0.373791577626039,0.3254621225252729,0.35406662407987277,1.0,0.45956300339152245,0.3465198939442739,0.45842656565361917,0.3014302602532825,0.29333426449436106,0.46443105874270907,0.4413486585865862,0.37686376423336587,0.42320500766831337,0.28210803740011464,0.4109894979174342,0.1992832940916624,0.26387715302609566,0.5301711480293897,0.41990050032259807,0.5303980655257372,0.26261512515424196,0.09910468656443473,0.17343819852478054,0.215751691325801,0.3062644978175606,0.4606433429579649,0.3479708276933897,0.3946050458809452,0.458041946081007,0.42555306824259737,0.350518622564642,0.3481565737277518,0.44718127116261996,0.23031617243544605,0.18948975922758593,0.5038347462833794,0.32209946674132595,0.39945187882326516,0.38742291521927874,0.3380721576242045,0.3588604176359949,0.3970390904214887,0.2003583200054803,0.27251609526928744,0.2580283828491268,0.4187053159670058,0.3956738262961475,0.27420876330239574,0.22328566710482486,0.43624261320622426,0.14839592126426057,0.2175235718918831,0.4852664335869012,0.4289850800984673,0.4965387090753871,0.4639972328115174,0.3146421047386989,0.3545040296811058,0.2909299254427247,0.6179146700393118,0.4667788600468959,0.4937735145210862,0.49228160882288086,0.4704514072140588,0.38297749062194586,0.441163107567496,0.22993415926088748,0.3301727733739922,0.48722484106707425,0.340388886192782,0.4206684339129245,0.41203064176378357,0.31455604849340163
